global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
244,6,4,"[10, 11, 12, 13, 14, 15]",8105.169101715088,3084.2938194274902,312039.26086553046,312039.26086553046
245,6,5,"[10, 11]",6389.732355117798,2274.7267837524414,234328.22978743823,234328.22978743823
246,6,6,"[12, 13]",6239.562824249268,1668.1520080566406,210031.4215872125,210031.4215872125
247,6,7,"[14, 15]",1792.8234748840332,473.41191482543945,507404.9691031165,507404.9691031165
248,6,8,"[20, 21, 22, 23, 24, 25]",1631.475341796875,305.6746482849121,301984.03206466604,301984.03206466604
249,6,9,"[20, 21]",9591.568435668943,2265.8821754455566,257186.03024573604,257186.03024573604
250,6,10,"[22, 23]",8756.787199020386,1985.247709274292,295160.9775886536,295160.9775886536
251,6,11,"[24, 25]",13700.19367980957,2447.3791275024414,1263488.8257340451,1263488.8257340451
252,6,12,"[26, 27, 28, 29, 30, 31]",9623.5447807312,1846.1685256958008,468923.212730341,468923.212730341
253,6,13,"[26, 27]",8082.019886016846,2900.017997741699,283134.2743832448,283134.2743832448
254,6,14,"[28, 29]",7239.236186981201,2671.1890144348145,239880.5165734377,239880.5165734377
255,6,15,"[30, 31]",5591.06950378418,1647.1015167236328,554305.6408326862,554305.6408326862
