file_name,ev_id,Q_total,E_total,total_light_adc,total_light_np,length,Q_t_not_corrected,Q_t_corrected,total_light_acl_np,total_light_lcm_np
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,153,6537.552171609363,219.82173452876947,16264647.999999993,0.0,135.1762773533152,6184.648214519818,7497.960608065608,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,554,2207.2024487783,74.21601510939115,3533131.9999999674,0.0,44.169131446053576,2153.0526815841527,3128.0199338679045,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,562,3651.463274015715,122.77852159222441,7221059.999999978,0.0,80.60176768185721,3595.617002405149,4796.938795904874,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,596,5698.530608800027,191.61007817752318,14356883.999999993,0.0,136.61668480516843,5410.226001422358,7416.29020945044,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,628,4698.270684804216,157.97686719876532,17737812.000000004,0.0,114.4993918619023,4381.973117163493,5450.528778861052,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,666,2941.064497121257,98.8917383980165,14928232.000000015,0.0,65.79742754869824,2887.7777064422903,3787.3382119716152,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,788,7661.221018968327,257.6045052935011,11173451.999999981,0.0,152.9450393682395,7432.216714798141,9257.83253912087,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,815,5198.398839980311,174.79341193471635,14304008.000000015,0.0,114.75072801240935,4832.1187721018305,5289.284863720925,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,882,6859.6452389125725,230.6519435849602,21432307.99999999,0.0,130.14696917536813,6524.321163914937,9697.760051229705,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,909,6401.91960468533,215.26116119226782,16370800.000000019,0.0,101.08858235322228,6307.971199373061,7323.014494831876,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,924,6921.670759907158,232.73751892756184,11610740.000000013,0.0,143.08744877363725,6687.392469735367,8414.74515106238,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1015,5711.966964122528,192.06186851971938,13158588.000000019,0.0,53.39588678221034,5329.902123268531,7533.195477734103,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1026,9686.167018295138,325.6922436724263,19693908.0,0.0,148.42865458522613,8495.918674496645,11853.427285471673,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1059,5863.222151773889,197.14774421649594,15942075.999999993,0.0,118.14475751982735,5648.5139342218545,7540.596922312712,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1081,8073.751828742254,271.475635614246,37121255.999999985,0.0,130.41240578447793,7935.796885424899,11986.910931366232,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1090,5493.386749473946,184.7122243935305,15071980.000000022,0.0,153.49123044260736,5160.020766868352,6397.246027461383,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1274,4405.834882684093,148.14386800075928,10334863.999999985,0.0,97.99501236861218,4365.146283150145,6243.149940375309,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1326,7312.238328233732,245.87014686941984,12449119.999999978,0.0,130.0552145375493,7168.37624219608,10400.595796376192,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1360,8157.695044438478,274.29818185049646,24306560.000000037,0.0,148.2153491103975,7773.621189702583,9497.57269051183,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1369,9497.940278277245,319.36321907892255,15993959.999999996,0.0,171.1679533735468,9211.061834354341,11634.809967731388,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1418,5179.407055335119,174.15482321941207,13917292.000000007,0.0,113.37737318598248,4804.296561804309,4990.366940147756,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1485,4992.467152017762,167.86906782944843,13717715.999999981,0.0,132.1599134447148,4832.11888897716,6317.7738876581225,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1491,6614.5868397755585,222.411984507757,14579619.999999996,0.0,140.00962846535637,6285.802551761974,7985.278246153324,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1649,3248.5106957514136,109.22945424075223,16626044.000000037,0.0,69.66913906995961,3201.049751696571,3593.2492054173144,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1656,5190.294124484482,174.52089516217077,23917735.99999999,0.0,132.45828198531527,5033.912165022127,5745.350898814666,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1672,4393.5140070044,147.72958507165544,14036568.000000028,0.0,92.05664576690808,4307.255928569403,5999.776653259099,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1688,4734.028089409409,159.17919101909297,11602631.999999985,0.0,107.84461039414013,4590.1789907958455,5993.605556228085,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,1766,5966.301941543722,200.61374763601242,8796903.999999978,0.0,130.71870818755096,5907.5219226903955,7832.804082315497,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2006,4050.8128436556576,136.2064396840749,5132759.999999996,0.0,93.87144179440232,3842.0945837779077,5426.601859156843,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2052,7720.829796557353,259.6088189171328,12241619.999999981,0.0,131.78750587136085,7653.374139211997,9957.671186043928,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2079,6882.075721857916,231.40615671212663,27388956.000000015,0.0,169.28797440058668,6549.342927558513,7526.159855137161,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2300,2621.270730789478,88.13884212105503,8590735.999999994,0.0,107.95371658094093,1827.8719461239123,2748.0837764853554,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2345,6025.082193997831,202.59020254012992,20709444.00000002,0.0,132.11022509078208,5836.079014424748,7585.2055144697715,0,0
